word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
bank,621.03,1,72,0,4,1,1.05,83,2385,17932,58438,2122,38406,4334,39506,10907,648811,2554,1590,6763,9159301,2392282,4.9,5.11,5.25,5.05,4.98,5.28,4.93,4.95,4.92,5.02,4.82,4.71,5.28,4.77,4.85,4.94
being,657.99,0.972,70,2,5,2,1.8,712,15543,89068,354734,15279,159660,24781,362268,85054,4809194,38742,23545,22767,94979474,40187065,5.83,5.92,5.95,5.83,5.83,5.9,5.69,5.92,5.79,5.91,6,5.88,5.81,5.79,6.07,5.77
best,647.24,1,72,0,4,1,1,351,6187,34905,220888,8563,122338,20623,269708,78407,2568964,22481,36356,19570,40362051,12627235,5.52,5.52,5.54,5.63,5.58,5.78,5.61,5.79,5.52,5.87,5.77,6.07,5.74,5.42,5.57,6.31
bill,709.36,0.986,71,1,4,1,1.05,143,970,13743,126130,5230,24845,6041,116919,19457,1221863,3372,3264,12821,7804822,1698644,5.13,4.72,5.13,5.38,5.37,5.09,5.07,5.42,5.2,5.27,4.94,5.02,5.56,4.7,4.7,4.86
bleak,887.62,0.653,47,25,5,1,1.8,10,186,877,2901,131,1391,55,723,436,10199,202,61,173,466472,164174,4.01,4,3.94,3.75,3.77,3.84,3.04,3.22,3.12,3.62,3.72,3.3,3.69,3.48,3.68,1.97
boast,707.01,0.986,71,1,5,1,1.55,8,91,460,2018,80,597,54,958,365,19017,166,36,163,904137,453964,3.93,3.69,3.66,3.59,3.56,3.47,3.03,3.34,3.39,3.54,3.64,3.07,3.66,3.77,4.13,4.34
body,638.6,1,72,0,4,2,1.7,276,5243,25526,137144,3332,30204,9972,116235,19616,1262333,9681,4782,5153,40987962,12492673,5.42,5.45,5.4,5.42,5.17,5.18,5.29,5.42,5.21,5.27,5.4,5.18,5.16,5.42,5.57,5.57
bombers,984.35,0.403,29,43,7,2,2,22,59,496,3423,153,935,160,1972,333,65944,125,65,143,460055,157248,4.33,3.51,3.69,3.82,3.84,3.67,3.5,3.65,3.93,3.5,3.52,3.32,3.61,3.47,3.66,2.6
box,645.15,0.986,71,1,3,1,1.4,70,1408,8922,53250,2023,26693,4577,171530,10673,656849,5115,2942,2616,9009571,1944389,4.82,4.88,4.95,5.01,4.96,5.12,4.95,5.59,4.93,5.01,5.12,4.97,4.87,4.76,4.76,4.86
bravest,936.05,0.875,63,9,7,2,2.3,1,13,51,321,6,323,87,92,61,2204,28,17,16,214258,93504,3.27,2.88,2.71,2.79,2.49,3.21,3.24,2.32,2.45,2.77,2.88,2.76,2.68,3.14,3.44,3.2
